anchor,positive
"The relation emp(empId, name, gender, salary, deptId) is given. Consider the SQL query: `select deptId, count(*) from emp where gender = ""female"" and salary > (select avg(salary) from emp) group by deptId;`. The query gives, for each department, the number of female employees whose salary is greater than the average salary of",CS - Databases: SQL - SQL Queries with Subqueries and Aggregation
"Let S be the schedule of operations of three transactions T1, T2, T3: R₂(Y), R₁(X), R₃(Z), R₁(Y), W₁(X), R₂(Z), W₂(Y), R₃(X), W₃(Z). Consider statements P and Q:
P: S is conflict-serializable.
Q: If T₃ commits before T₁ finishes, then S is recoverable.
Which one of the following choices is correct?",CS - Databases: Transactions and Concurrency Control - Conflict Serializability and Recoverability of Schedules
"A bag has r red balls and b black balls. In a trial, a ball is drawn, its colour noted, and it is placed back with another ball of the same colour. A sequence of four such trials is conducted. What is the probability of drawing a red ball in the fourth trial?",CS - Engineering Mathematics: Probability and Statistics - Conditional Probability (Pólya's Urn Scheme)
Consider the CRC scheme with generator polynomial X³+X+1. The message m₄m₃m₂m₁m₀ = 11000 is to be transmitted. Check bits c₂c₁c₀ are appended. The value of the checkbit sequence c₂c₁c₀ is,CS - Computer Networks: Data Link Layer - Error Detection (Cyclic Redundancy Check)
Consider the given ANSI C program that manipulates a linked list. Which one of the statements below is correct about the program?,"CS - Programming and Data Structures: Programming in C - Linked Lists, Pointers, and Dynamic Memory Allocation"
"Consider the following two statements about regular languages:
S₁: Every infinite regular language contains an undecidable language as a subset.
S₂: Every finite language is regular.
Which one of the following choices is correct?",CS - Theory of Computation: Regular Expressions and Finite Automata - Properties of Regular and Undecidable Languages
"For two n-dimensional real vectors P and Q, the operation s(P,Q) is defined as s(P,Q) = Σ(P[i]·Q[i]) from i=1 to n. Let L be a set of 10-dimensional non-zero real vectors such that for every pair of distinct vectors P, Q ∈ L, s(P,Q) = 0. What is the maximum cardinality possible for the set L?",CS - Engineering Mathematics: Linear Algebra - Vector Spaces and Orthogonality
"For a statement S in a program, in the context of liveness analysis, USE(S), IN(S), and OUT(S) are defined. Consider a basic block with statement S₁ followed by S₂. Which one of the following statements is correct?",CS - Compiler Design: Code Optimization - Data Flow Analysis (Liveness Analysis)
"For constants a ≥ 1 and b > 1, consider the recurrence T(n) = a·T(n/b) + f(n). Which one of the following options is correct about the recurrence T(n)?",CS - Algorithms: Asymptotic Analysis - Solving Recurrence Relations (Master Theorem)
"Suppose the following functional dependencies hold on a relation U with attributes P, Q, R, S, and T:
P → QR
RS → T
Which of the following functional dependencies can be inferred from the above functional dependencies?",CS - Databases: Database Design and Normalization - Functional Dependencies and Armstrong's Axioms
"For a string w, we define wᴿ to be the reverse of w. Which of the following languages is/are context-free?",CS - Theory of Computation: Context-Free Grammars and Push-Down Automata - Properties of Context-Free Languages
"Consider the multi-threaded code segment invoked by two processes P1 and P2, where each spawns two threads T1 and T2 to execute foo(). Which statement(s) is/are correct?
`int x = 0; Lock L1; main() { create_thread(foo); create_thread(foo); wait(); print(x); } foo() { int y = 0; Acquire L1; x = x + 1; y = y + 1; Release L1; print(y); }`","CS - Operating System: Concurrency and Synchronization - Race Conditions, Locks, and Shared vs Local Variables"
Consider a system with multiple shared resource types (one instance each). A scheme `OWNRESOURCE(R)` is used to acquire resources. Which choice(s) about the scheme is/are correct?,"CS - Operating System: Deadlock - Deadlock, Livelock, and Starvation"
"If the numerical value of a 2-byte unsigned integer on a little endian computer is 255 more than that on a big endian computer, which of the following choices represent(s) the unsigned integer on a little endian computer?",CS - Computer Organization and Architecture: Data Representation - Endianness (Little vs. Big Endian)
"Consider a network using the distance vector routing algorithm. Router R has neighbors X, Y, Z. Distances R-X, R-Y, R-Z are 3, 2, 5. R gets routing vectors from its neighbors with distances to P and Q. Which statement(s) is/are correct for R's new routing table?",CS - Computer Networks: Network Layer - Distance Vector Routing Algorithm
Consider the given directed graph. Which of the following is/are correct about the graph?,"CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Topological Sort, DFS, SCC, Cycles)"
Which of the following regular expressions represent(s) the set of all binary numbers that are divisible by three? Assume that the string ε is divisible by three.,CS - Theory of Computation: Regular Expressions and Finite Automata - Regular Expressions for Number Properties
Consider a three-level page table to translate a 39-bit virtual address. Page size is 4KB and page table entry size is 8 bytes. A process P is using 2GB of virtual memory. The minimum amount of memory required for the page table of P across all levels is __________ KB.,CS - Operating System: Memory Management - Multi-level Paging and Page Table Size Calculation
"Consider the following ANSI C program.
`#include <stdio.h>
int foo(int x, int y, int q) { ... }
int main() { int r = foo(15,15,10); printf(""%d"", r); return 0; }
` The output of the program upon execution is __________.",CS - Algorithms: Recursion - Analysis of Recursive Functions
"Let S be a set consisting of 10 elements. The number of tuples of the form (A, B) such that A and B are subsets of S, and A ⊆ B is __________.",CS - Engineering Mathematics: Discrete Mathematics - Combinatorics and Set Theory
"Consider the given augmented grammar. Let I₀ = CLOSURE({S' → •S}). The number of items in the set GOTO(GOTO(I₀, <), <) is __________.",CS - Compiler Design: Parsing - Construction of LR(0) or SLR(1) Parsing Automaton (CLOSURE and GOTO)
"Consider a Boolean function f(w, x, y, z) such that f(w,0,0,z) = 1; f(1,x,1,z) = x+z; f(w,1,y,z) = wz+y. The number of literals in the minimal sum-of-products expression of f is __________.",CS - Digital Logic: Boolean Algebra and Logic Gates - Boolean Function Minimization using K-Maps or Algebraic Manipulation
"Consider a 5-stage pipelined processor. EX stage takes 1 cycle for ADD, 2 for MUL. Consider the sequence: ADD, MUL, ADD, MUL, ... (8 instructions total). Assume data dependencies between consecutive instructions. The Speedup achieved in executing the sequence on the pipelined processor (rounded to 2 decimal places) is __________.",CS - Computer Organization and Architecture: Instruction Pipelining - Pipeline Performance with Data Hazards and Speedup Calculation
"Consider a network using the pure ALOHA protocol. Each frame is 1,000 bits. Channel rate is 1 Mbps. The aggregate number of transmissions is a Poisson process with a rate of 1,000 frames/sec. The throughput of the network (rounded to the nearest integer) is __________.",CS - Computer Networks: Medium Access Control - Pure ALOHA Throughput Calculation
"In a directed acyclic graph with source s, the quality-score of a path is the product of edge weights. The quality-score of a vertex v is the maximum quality-score of all paths from s to v. The quality-score of s is 1. The sum of the quality-scores of all the vertices in the graph shown is __________.",CS - Algorithms: Graph Algorithms - Shortest/Longest Path on a Directed Acyclic Graph (DAG)
Raman is confident of speaking English __________ six months as he has been practising regularly __________ the last three weeks.,General Aptitude: Verbal Ability - Grammar (Prepositions and Tenses)
His knowledge of the subject was excellent but his classroom performance was __________.,General Aptitude: Verbal Ability - Vocabulary and Context
"Select the word that fits the analogy:
Cook : Cook :: Fly : __________",General Aptitude: Verbal Ability - Verbal Analogies
"The dawn of the 21st century witnessed the melting glaciers oscillating between giving too much and too little to billions of people who depend on them for fresh water. The UN climate report estimates that without deep cuts to man-made emissions, at least 30% of the northern hemisphere's surface permafrost could melt by the end of the century. Given this situation of imminent global exodus of billions of people displaced by rising seas, nation-states need to rethink their carbon footprint for political concerns, if not for environmental ones.
Which one of the following statements can be inferred from the given passage?",General Aptitude: Verbal Ability - Reading Comprehension
